neighbourhood_cleansed,latitude,longitude,room_type,accommodates,bathrooms,bedrooms,beds,privacy,state,air_conditioning,heating,free_parking,gym,housekeeping,pool,pool_shared,pool_private,pool_indoor,pool_outdoor,hot_tub,hot_tub_shared,hot_tub_private,paid_parking,avg_price,med_price,dist_to_airport_km,dist_to_train_km,dist_to_park_km,dist_to_university_km,dist_to_bus_km,dist_to_city_center_km,median_income,median_gross_rent,population,median_home_value,education_bachelors,median_age,race_white,race_black,race_asian,race_other,median_year_built,total_housing_units,labor_force,unemployed,commute_time_mean,gini_index,percent_foreign_born,unemployment_rate,percent_owner_occupied,percent_public_transport,percent_work_from_home,vacancy_rate,poverty_rate,percent_over_65,price_pred,occ_pred,rev_pred,source_url
Sheridan Park,41.97,-87.66,Entire home/apt,5.0,2.0,3.0,3.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,23.12 km,0.72 km,0.24 km,4.50 km,nan km,10.10 km,"$71,030","$1,374","66,884","$363,300","19,501",37.4 yrs,"38,489","12,078","6,838","3,031",1944.0,"40,850","44,777","2,386",506.9 min,0.493,22.4%,5.3%,31.3%,29.1%,27.3%,7.6%,18.7%,13.4%,$856,47,"$43,352",https://www.zillow.com/homedetails/1353-W-Wilson-Ave-APT-2-Chicago-IL-60640/70460121_zpid/
TBD!!!,41.91,-87.72,Entire home/apt,6.0,3.0,5.0,5.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,16.88 km,2.73 km,0.50 km,4.80 km,nan km,8.37 km,"$52,963","$1,186","63,892","$262,700","3,899",34.8 yrs,"8,611","33,772",887,"11,045",1938.0,"22,885","29,853","3,488",394.3 min,0.491,15.1%,11.7%,45.8%,20.1%,7.6%,8.8%,25.2%,13.1%,$749,46,"$37,761",https://www.zillow.com/homedetails/1430-N-Avers-Ave-Chicago-IL-60651/3793345_zpid/
Bridgeport,41.84,-87.66,Entire home/apt,6.0,2.0,4.0,4.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,11.84 km,1.07 km,0.37 km,2.78 km,nan km,4.39 km,"$70,704","$1,208","81,459","$341,500","12,339",34.6 yrs,"24,089","14,493","11,644","18,193",1938.0,"32,617","42,715","3,380",545.9 min,0.463,30.1%,7.9%,40.2%,20.5%,15.1%,7.8%,17.9%,11.3%,$772,50,"$40,490",https://www.zillow.com/homedetails/2701-S-Hillock-Ave-Chicago-IL-60608/3878205_zpid/
Lincoln Park,41.93,-87.66,Entire home/apt,2.0,1.0,1.0,1.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,21.59 km,1.14 km,0.37 km,0.50 km,nan km,6.11 km,"$139,561","$2,019","70,444","$730,700","22,930",31.3 yrs,"56,623","2,406","5,339","1,695",1971.0,"38,089","47,061","1,690",524.0 min,0.542,13.1%,3.6%,45.1%,29.1%,29.9%,9.2%,8.3%,10.0%,"$1,102",46,"$69,127",https://www.zillow.com/homedetails/2510-N-Wayne-Ave-APT-112-Chicago-IL-60614/3729563_zpid/
Pilsen,41.85,-87.67,Entire home/apt,8.0,4.0,6.0,6.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,11.68 km,0.57 km,0.31 km,1.68 km,nan km,4.39 km,"$70,704","$1,208","81,459","$341,500","12,339",34.6 yrs,"24,089","14,493","11,644","18,193",1938.0,"32,617","42,715","3,380",545.9 min,0.463,30.1%,7.9%,40.2%,20.5%,15.1%,7.8%,17.9%,11.3%,$756,46,"$30,776",https://www.zillow.com/homedetails/1817-W-21st-St-Chicago-IL-60608/458190400_zpid/
TBD!!!,41.84,-87.66,Entire home/apt,8.0,2.0,5.0,5.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,11.34 km,0.62 km,0.14 km,3.19 km,nan km,4.74 km,"$70,704","$1,208","81,459","$341,500","12,339",34.6 yrs,"24,089","14,493","11,644","18,193",1938.0,"32,617","42,715","3,380",545.9 min,0.463,30.1%,7.9%,40.2%,20.5%,15.1%,7.8%,17.9%,11.3%,$759,49,"$34,368",https://www.zillow.com/homedetails/1404-W-Fuller-St-Chicago-IL-60608/3878167_zpid/
Downtown Loop,41.88,-87.63,Entire home/apt,4.0,2.0,2.0,2.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,17.76 km,0.17 km,0.22 km,0.81 km,nan km,0.70 km,"$139,148","$2,535","3,527","$366,500","1,113",34.6 yrs,"2,065",105,"1,083",24,2003.0,"3,032","3,244",94,37.9 min,0.446,22.2%,2.9%,26.7%,10.0%,26.8%,13.0%,4.9%,4.4%,"$1,388",33,"$43,238",https://www.zillow.com/homedetails/208-W-Washington-St-APT-1010-Chicago-IL-60606/63701251_zpid/
River North,41.9,-87.63,Entire home/apt,2.0,1.0,0.0,1.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,19.34 km,0.36 km,0.32 km,0.41 km,nan km,1.91 km,"$144,831","$2,571","24,303","$495,900","10,297",32.4 yrs,"17,609",808,"2,092","1,108",2003.0,"17,960","19,819",561,219.0 min,0.438,18.6%,2.8%,34.4%,8.7%,31.2%,11.2%,7.0%,7.4%,"$1,420",35,"$59,127",https://www.zillow.com/homedetails/70-W-Huron-St-APT-2210-Chicago-IL-60654/3862660_zpid/
TBD!!!,41.89,-87.63,Entire home/apt,2.0,1.0,0.0,1.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,18.71 km,0.32 km,0.09 km,0.54 km,nan km,1.10 km,"$144,831","$2,571","24,303","$495,900","10,297",32.4 yrs,"17,609",808,"2,092","1,108",2003.0,"17,960","19,819",561,219.0 min,0.438,18.6%,2.8%,34.4%,8.7%,31.2%,11.2%,7.0%,7.4%,"$1,377",35,"$49,070",https://www.zillow.com/homedetails/300-N-State-St-APT-5225-Chicago-IL-60654/3863810_zpid/
TBD!!!,41.83,-87.66,Entire home/apt,5.0,1.0,3.0,3.0,entire,IL,True,True,True,True,True,True,True,True,True,True,True,True,True,True,$578,$169,11.08 km,1.32 km,0.17 km,2.92 km,nan km,5.41 km,"$70,704","$1,208","81,459","$341,500","12,339",34.6 yrs,"24,089","14,493","11,644","18,193",1938.0,"32,617","42,715","3,380",545.9 min,0.463,30.1%,7.9%,40.2%,20.5%,15.1%,7.8%,17.9%,11.3%,$770,49,"$37,089",https://www.zillow.com/homedetails/3329-S-Racine-Ave-Chicago-IL-60608/441082062_zpid/
